iter	RMSE
0	69547.68338
1	64041.65814
2	59543.87856
3	55460.63143
4	52014.96337
5	49645.29988
6	47397.80858
7	45311.37348
8	43830.42012
9	42348.2926
10	40809.46319
11	39419.78903
12	38254.26575
13	37267.11155
14	36056.34246
15	34977.05713
16	33898.12631
17	33007.46486
18	32018.88952
19	31151.18213
20	30527.82507
21	29942.17859
22	29277.37063
23	28843.22054
24	28123.17998
25	27650.03211
26	27413.85219
27	27164.52546
28	26767.50853
29	26482.1541
30	26170.71993
31	25918.6018
32	25747.5022
33	25490.97948
34	25253.3758
35	25135.21301
36	24941.72353
37	24756.53985
38	24658.13654
39	24496.95518
40	24167.94145
41	23824.07451
42	23441.72808
43	23182.81356
44	23054.7209
45	22942.01492
46	22675.49144
47	22589.73657
48	22519.64404
49	22323.27167
50	22250.29249
51	22174.07988
52	22072.08
53	21974.04202
54	21905.31122
55	21821.06579
56	21739.70225
57	21668.8853
58	21603.98579
59	21540.83748
60	21485.16797
61	21428.21063
62	21374.27838
63	21325.01208
64	21285.4698
65	21177.40647
66	21089.52252
67	21024.29115
68	20999.34801
69	20976.63653
70	20943.08893
71	20922.82646
72	20892.53573
73	20874.4269
74	20842.57436
75	20809.10466
76	20783.30991
77	20735.12148
78	20714.51938
79	20694.37504
80	20676.02702
81	20656.07594
82	20621.75464
83	20607.72782
84	20593.43406
85	20554.07707
86	20520.92814
87	20495.28253
88	20485.46588
89	20476.61748
90	20465.56028
91	20455.50003
92	20438.72933
93	20429.80703
94	20415.73027
95	20407.56349
96	20395.326
97	20388.09941
98	20380.49078
99	20367.23181
