iter	Passed	Remaining
0	0	43
1	0	38
2	1	35
3	1	34
4	1	32
5	2	32
6	2	31
7	2	31
8	3	30
9	3	30
10	3	29
11	4	29
12	4	29
13	4	29
14	5	28
15	5	28
16	5	28
17	6	28
18	6	27
19	6	27
20	7	27
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	25
29	10	24
30	11	24
31	11	24
32	11	23
33	11	23
34	12	22
35	12	22
36	12	22
37	13	21
38	13	21
39	13	20
40	14	20
41	14	20
42	15	20
43	15	19
44	15	19
45	16	19
46	16	18
47	16	18
48	17	18
49	17	17
50	18	17
51	18	16
52	18	16
53	19	16
54	19	15
55	19	15
56	20	15
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	22	13
63	22	12
64	23	12
65	23	12
66	23	11
67	24	11
68	24	10
69	24	10
70	25	10
71	25	9
72	25	9
73	26	9
74	26	8
75	27	8
76	27	8
77	27	7
78	28	7
79	28	7
80	29	6
81	29	6
82	29	6
83	30	5
84	30	5
85	30	5
86	31	4
87	31	4
88	31	3
89	32	3
90	32	3
91	32	2
92	33	2
93	33	2
94	34	1
95	34	1
96	34	1
97	35	0
98	35	0
99	35	0
