iter	RMSE
0	885705.4125
1	863561.0452
2	849450.6644
3	834515.5491
4	811928.1201
5	800276.4183
6	786582.5327
7	776622.5776
8	773773.7655
9	769061.6313
10	763324.9928
11	757137.6874
12	754181.0342
13	750965.061
14	739034.393
15	734260.3308
16	732187.1094
17	723450.4025
18	715323.8116
19	713913.5773
20	706197.216
21	705168.8663
22	695410.2406
23	689619.2149
24	669547.1288
25	666966.7334
26	665222.9445
27	655630.5226
28	653630.0254
29	649281.5764
30	644509.638
31	627937.0892
32	623312.4816
33	618243.6865
34	604916.7457
35	596702.1382
36	592171.9382
37	583700.5047
38	578624.4996
39	573354.0084
40	555382.0008
41	550858.6618
42	546073.2883
43	543176.3443
44	533336.8424
45	526336.5061
46	524896.0111
47	520469.7946
48	519251.2645
49	516264.6555
50	512153.0156
51	502990.9998
52	499124.0738
53	497877.5826
54	494314.7927
55	488106.4724
56	484804.3983
57	470626.8338
58	463355.2146
59	460582.0829
60	459438.1345
61	446870.9119
62	444230.3426
63	437708.4009
64	435248.0671
65	434139.1945
66	428065.6395
67	425768.2771
68	424731.7022
69	413670.2083
70	411484.7563
71	402441.0637
72	400374.6808
73	399366.2618
74	397467.9815
75	396399.7828
76	394539.341
77	388884.4515
78	384266.5914
79	379000.5707
80	374159.5439
81	372916.0816
82	371244.7423
83	368817.7414
84	367133.6166
85	362596.3368
86	361163.9931
87	358881.8634
88	356640.9546
89	354542.7904
90	350358.3993
91	348740.1286
92	346269.634
93	343728.8819
94	341812.7557
95	338321.7305
96	334641.3323
97	331348.2686
98	323497.6368
99	319768.8413
