iter	Passed	Remaining
0	0	49
1	0	44
2	1	41
3	1	40
4	2	39
5	2	38
6	2	37
7	3	37
8	3	36
9	3	35
10	4	35
11	4	34
12	5	33
13	5	33
14	5	33
15	6	33
16	6	33
17	7	32
18	7	32
19	8	32
20	8	31
21	8	31
22	9	31
23	9	30
24	10	30
25	10	30
26	11	29
27	11	29
28	11	29
29	12	28
30	12	28
31	13	28
32	13	27
33	14	27
34	14	27
35	15	26
36	15	26
37	15	26
38	16	25
39	16	25
40	17	24
41	17	24
42	17	23
43	18	23
44	18	22
45	19	22
46	19	21
47	19	21
48	20	21
49	20	20
50	21	20
51	21	19
52	21	19
53	22	19
54	22	18
55	23	18
56	23	17
57	23	17
58	24	16
59	24	16
60	25	16
61	25	15
62	26	15
63	26	14
64	26	14
65	27	13
66	27	13
67	27	13
68	28	12
69	28	12
70	28	11
71	29	11
72	29	10
73	29	10
74	30	10
75	30	9
76	31	9
77	31	8
78	31	8
79	32	8
80	32	7
81	32	7
82	33	6
83	33	6
84	34	6
85	34	5
86	34	5
87	35	4
88	35	4
89	35	3
90	36	3
91	36	3
92	36	2
93	37	2
94	37	1
95	37	1
96	38	1
97	38	0
98	39	0
99	39	0
